Postcode,Average_total,Average_salary
4076,73009,58274
4077,69861,55916
4078,79779,66839
4101,101907,74752
4102,83148,67603
4103,88471,69501
4104,111245,73288
4105,94866,70175
4106,76398,59472
4107,83140,68016
4108,73265,58639
4109,78374,54195
4110,75581,61483
4111,80564,66187
4112,84136,64111
4113,76736,59005
4114,66443,52938
4115,80699,65901
4116,78976,60701
4117,77830,65283
4118,76220,62753
4119,80110,61505
4120,90549,70527
4121,103097,77658
4122,85411,67391
4123,85146,66147
4124,81136,65633
4125,78034,60169
4127,80770,62843
4128,83709,67722
4129,78835,62712
4130,92753,66066
4131,71553,58461
4132,69903,58720
4133,75143,60279
4151,101501,74895
4152,102153,75838
4153,99984,72741
4154,108832,84278
4155,150001,67120
4156,113631,73701
4157,83176,64884
4158,83298,65444
4159,89116,68266
4160,97046,73051
4161,79166,64662
4163,106535,64529
4164,91769,70430
4165,87894,66779
4169,103971,73975
4170,103390,79291
4171,139597,93862
4172,92179,76043
4173,84006,69148
4174,82889,68125
4178,88898,70707
4179,97884,73974
4183,82560,50471
4184,72324,47706
4205,73445,57483
4207,76875,60261
4208,82487,66447
4209,79746,64214
4210,84981,64353
4211,79935,59244
4212,102637,63169
4213,87189,60383
4214,81505,59553
4215,80856,55674
4216,90499,55848
4217,99061,54385
4218,99462,58093
4219,94936,54400
